,env,algo,lr,beta,epsilon,avg_return,total_time,asymptotic_return
193,SpaceInvaders,sgd,0.055702386665174804,0.028877571830689286,3.106822729349788e-05,389.48222146969186,5664.080519914627,486.2
194,Breakout,sgd,0.055702386665174804,0.028877571830689286,3.106822729349788e-05,8.315593232262831,5029.396179437637,24.29
195,Qbert,sgd,0.055702386665174804,0.028877571830689286,3.106822729349788e-05,604.3119807159709,6719.603481531143,752.0
196,BeamRider,adam,0.0014508341821046584,0.028877571830689286,3.106822729349788e-05,326.08088235294116,6514.840245008469,378.12
197,SpaceInvaders,adam,0.0014508341821046584,0.028877571830689286,3.106822729349788e-05,274.3865504666543,4734.792085647583,260.95
198,Breakout,adam,0.0014508341821046584,0.028877571830689286,3.106822729349788e-05,15.538359448582927,5213.024128913879,2.47
199,Qbert,adam,0.0014508341821046584,0.028877571830689286,3.106822729349788e-05,272.6157567380788,6626.242827653885,129.75
200,BeamRider,tdprop,0.0014508341821046584,0.028877571830689286,3.106822729349788e-05,655.3673469387755,9371.764582633972,606.2
201,SpaceInvaders,tdprop,0.0014508341821046584,0.028877571830689286,3.106822729349788e-05,239.78796597448087,9664.10438466072,251.3
202,Breakout,tdprop,0.0014508341821046584,0.028877571830689286,3.106822729349788e-05,25.191878625613565,7986.176828384399,34.16
203,Qbert,tdprop,0.0014508341821046584,0.028877571830689286,3.106822729349788e-05,247.1607536580477,7407.952147722244,11.5
204,BeamRider,sgd,0.16999607133078573,0.24076550037125066,3.0126210508620573e-06,1135.7717755443887,4524.956768751144,1413.92
205,SpaceInvaders,sgd,0.16999607133078573,0.24076550037125066,3.0126210508620573e-06,426.6099338743613,6231.496308326721,576.85
206,Breakout,sgd,0.16999607133078573,0.24076550037125066,3.0126210508620573e-06,27.704505699981905,5191.630095243454,113.11
207,Qbert,sgd,0.16999607133078573,0.24076550037125066,3.0126210508620573e-06,1490.3038427167114,4746.400969982147,3196.75
208,BeamRider,adam,2.175694533872365e-05,0.24076550037125066,3.0126210508620573e-06,376.04094488188974,5947.722991943359,604.44
209,SpaceInvaders,adam,2.175694533872365e-05,0.24076550037125066,3.0126210508620573e-06,235.03668898043253,7146.885877370834,258.65
210,Breakout,adam,2.175694533872365e-05,0.24076550037125066,3.0126210508620573e-06,2.830136928939324,10408.732806444168,2.23
211,Qbert,adam,2.175694533872365e-05,0.24076550037125066,3.0126210508620573e-06,389.8626430801249,5109.316816568375,414.25
212,BeamRider,tdprop,2.175694533872365e-05,0.24076550037125066,3.0126210508620573e-06,675.7622454595487,6690.979382276535,726.64
213,SpaceInvaders,tdprop,2.175694533872365e-05,0.24076550037125066,3.0126210508620573e-06,362.4643755238894,6972.031455278397,396.8
214,Breakout,tdprop,2.175694533872365e-05,0.24076550037125066,3.0126210508620573e-06,6.843028861605708,9962.631413936615,8.97
215,Qbert,tdprop,2.175694533872365e-05,0.24076550037125066,3.0126210508620573e-06,584.3311213694941,7092.839714765549,601.75
216,BeamRider,sgd,0.5275649476333185,0.9624435749376019,0.0032506811792955646,1159.6553581044695,5269.168442964554,1341.36
217,SpaceInvaders,sgd,0.5275649476333185,0.9624435749376019,0.0032506811792955646,348.70903221278684,5063.596781253815,520.95
218,Breakout,sgd,0.5275649476333185,0.9624435749376019,0.0032506811792955646,47.9863518060052,7188.463330745697,198.26
219,Qbert,sgd,0.5275649476333185,0.9624435749376019,0.0032506811792955646,979.0804867857516,5685.784213066101,1920.25
